Sr. No.,Symbol,ISIN,Security Name,Overall Permitted Qty. Across All Segments,Memberwise Permitted Qty for CM Segment,
1,360ONE,INE466L01038,360 ONE WAM LIMITED,76162039,N.A,
2,3MINDIA,INE470A01017,3M India Limited,563254,N.A,
3,AADHARHFC,INE883F01010,Aadhar Housing Finance Limited,30582977,N.A,
4,AARTIIND,INE769A01020,Aarti Industries Limited,41994142,N.A,
5,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,10319857,N.A,
6,AASTHA,INE2FMX01012,Aastha Spintex Limited,4131136,N.A,
7,AAVAS,INE216P01012,Aavas Financiers Limited,8106111,N.A,
8,ABB,INE117A01022,ABB India Limited,10595419,N.A,
9,ABBOTINDIA,INE358A01014,Abbott India Limited,1063051,N.A,
10,ABCAPITAL,INE674K01013,Aditya Birla Capital Limited,170578871,N.A,
11,ABFRL,INE647O01011,Aditya Birla Fashion and Retail Limited,129573222,N.A,
12,ABLBL,INE14LE01019,Aditya Birla Lifestyle Brands Limited,129177988,N.A,
13,ABREL,INE055A01016,Aditya Birla Real Estate Limited,10899649,N.A,
14,ABSLAMC,INE404A01024,Aditya Birla Sun Life AMC Limited,14625968,N.A,
15,ACC,INE012A01025,ACC Limited,16266067,N.A,
16,ACE,INE731H01025,Action Construction Equipment Limited,8223965,N.A,
17,ACI,INE128X01021,Archean Chemical Industries Limited,11499842,N.A,
18,ACMESOLAR,INE622W01025,Acme Solar Holdings Limited,40166788,N.A,
19,ACUTAAS,INE00FF01025,Acutaas Chemicals Limited,11025941,N.A,
20,ADANIENSOL,INE931S01010,Adani Energy Solutions Limited,60757363,N.A,
21,ADANIENT,INE423A01024,Adani Enterprises Limited,65491782,N.A,
22,ADANIGREEN,INE364U01010,Adani Green Energy Limited,123755896,N.A,
23,ADANIPORTS,INE742F01042,Adani Ports and Special Economic Zone Limited,156524305,N.A,
24,ADANIPOWER,INE814H01029,Adani Power Limited,965813566,N.A,
25,AEGISLOG,INE208C01025,Aegis Logistics Limited,29415065,N.A,
26,AEQUS,INE947N01017,Aequs Limited,51729263,N.A,
27,AEROFLEX,INE024001021,Aeroflex Industries Limited,9138821,N.A,
28,AETHER,INE0BWX01014,Aether Industries Limited,6655057,N.A,
29,AFCONS,INE101I01011,Afcons Infrastructure Limited,36655607,N.A,
30,AFFLE,INE00WC01027,Affle 3i Limited,12663461,N.A,
31,AGI,INE415A01038,AGI Greenpac Limited,5124912,N.A,
32,AGIIL,INE976R01033,Agi Infra Limited,7176658,N.A,
33,AIAENG,INE212H01026,AIA Engineering Limited,7746399,N.A,
34,AIIL,INE206F01022,Authum Investment & Infrastructure Limited,52972358,N.A,
35,AJANTPHARM,INE031B01049,Ajanta Pharma Limited,9124369,N.A,
36,AKUMS,INE09XN01023,Akums Drugs and Pharmaceuticals Limited,6929316,N.A,
37,ALIVUS,INE03Q201024,Alivus Life Sciences Limited,6168633,N.A,
38,ALKEM,INE540L01014,Alkem Laboratories Limited,12028022,N.A,
39,ALKYLAMINE,INE150B01039,Alkyl Amines Chemicals Limited,2859357,N.A,
40,ALOKINDS,INE270A01029,Alok Industries Limited,248279045,N.A,
41,AMBER,INE371P01015,Amber Enterprises India Limited,4351686,N.A,
42,AMBUJACEM,INE079A01024,Ambuja Cements Limited,162276968,N.A,
43,ANANDRATHI,INE463V01026,Anand Rathi Wealth Limited,19469222,N.A,
44,ANANTRAJ,INE242C01024,Anant Raj Limited,30655921,N.A,
45,ANGELONE,INE732I01021,Angel One Limited,129715436,N.A,
46,ANTHEM,INE0CZ201020,Anthem Biosciences Limited,28449894,N.A,
47,ANURAS,INE930P01018,Anupam Rasayan India Limited,9319059,N.A,
48,APARINDS,INE372A01015,Apar Industries Limited,3393986,N.A,
49,APEX,INE346W01013,Apex Frozen Foods Limited,1711189,N.A,
50,APLAPOLLO,INE702C01027,APL Apollo Tubes Limited,39844771,N.A,
51,APLLTD,INE901L01018,Alembic Pharmaceuticals Limited,11896262,N.A,
52,APOLLO,INE713T01028,Apollo Micro Systems Limited,36746243,N.A,
53,APOLLOHOSP,INE437A01024,Apollo Hospitals Enterprise Limited,20699505,N.A,
54,APOLLOPIPE,INE126J01016,Apollo Pipes Limited,4227871,N.A,
55,APOLLOTYRE,INE438A01022,Apollo Tyres Limited,79602769,N.A,
56,APTUS,INE852O01025,Aptus Value Housing Finance India Limited,76246049,N.A,
57,ARE&M,INE885A01032,Amara Raja Energy & Mobility Limited,24576010,N.A,
58,ARSSBL,INE549H01021,Anand Rathi Share and Stock Brokers Limited,3773148,N.A,
59,ARVIND,INE034A01011,Arvind Limited,31698631,N.A,
60,ARVINDFASN,INE955V01021,Arvind Fashions Limited,17349727,N.A,
61,ASAHIINDIA,INE439A01020,Asahi India Glass Limited,24692027,N.A,
62,ASHAPURMIN,INE348A01023,Ashapura Minechem Limited,9929254,N.A,
63,ASHOKA,INE442H01029,Ashoka Buildcon Limited,25558886,N.A,
64,ASHOKLEY,INE208A01029,Ashok Leyland Limited,565038806,N.A,
65,ASIANPAINT,INE021A01026,Asian Paints Limited,90771819,N.A,
66,ASIANTILES,INE022I01019,Asian Granito India Limited,36293101,N.A,
67,ASKAUTOLTD,INE491J01022,ASK Automotive Limited,9876844,N.A,
68,ASTERDM,INE914M01019,Aster DM Healthcare Limited,61531095,N.A,
69,ASTRAL,INE006I01046,Astral Limited,24596599,N.A,
70,ASTRAMICRO,INE386C01029,Astra Microwave Products Limited,17747836,N.A,
71,ASTRAZEN,INE203A01020,AstraZeneca Pharma India Limited,1250000,N.A,
72,ATGL,INE399L01023,Adani Total Gas Limited,55429321,N.A,
73,ATHERENERG,INE0LEZ01016,Ather Energy Limited,45422451,N.A,
74,ATUL,INE100A01010,Atul Limited,3225472,N.A,
75,AUBANK,INE949L01017,AU Small Finance Bank Limited,115593742,N.A,
76,AURIONPRO,INE132H01018,Aurionpro Solutions Limited,8074039,N.A,
77,AUROPHARMA,INE406A01037,Aurobindo Pharma Limited,55371034,N.A,
78,AVANTEL,INE005B01027,Avantel Limited,33455730,N.A,
79,AVANTIFEED,INE871C01038,Avanti Feeds Limited,15470095,N.A,
80,AVL,INE679V01027,Aditya Vision Limited,13651750,N.A,
81,AWL,INE699H01024,AWL Agri Business Limited,110367996,N.A,
82,AXISBANK,INE238A01034,Axis Bank Limited,573183497,N.A,
83,AZAD,INE02IJ01035,Azad Engineering Limited,5703501,N.A,
84,BAJAJ-AUTO,INE917I01010,Bajaj Auto Limited,25102981,N.A,
85,BAJAJCON,INE933K01021,Bajaj Consumer Care Limited,14898664,N.A,
86,BAJAJFINSV,INE918I01026,Bajaj Finserv Limited,131771723,N.A,
87,BAJAJHFL,INE377Y01014,Bajaj Housing Finance Limited,220851632,N.A,
88,BAJAJHIND,INE306A01021,Bajaj Hindusthan Sugar Limited,410683811,N.A,
89,BAJAJHLDNG,INE118A01012,Bajaj Holdings & Investment Limited,10803987,N.A,
90,BAJFINANCE,INE296A01032,Bajaj Finance Limited,562778077,N.A,
91,BALKRISIND,INE787D01026,Balkrishna Industries Limited,16125398,N.A,
92,BALMLAWRIE,INE164A01016,Balmer Lawrie & Company Limited,34200769,N.A,
93,BALRAMCHIN,INE119A01028,Balrampur Chini Mills Limited,24145118,N.A,
94,BALUFORGE,INE011E01029,Balu Forge Industries Limited,10489365,N.A,
95,BANCOINDIA,INE213C01025,Banco Products (I) Limited,9187463,N.A,
96,BANDHANBNK,INE545U01014,Bandhan Bank Limited,196589694,N.A,
97,BANKBARODA,INE028A01039,Bank of Baroda,372635498,N.A,
98,BANKINDIA,INE084A01016,Bank of India,242361229,N.A,
99,BASF,INE373A01013,BASF India Limited,2308484,N.A,
100,BATAINDIA,INE176A01028,Bata India Limited,12812405,N.A,
101,BAYERCROP,INE462A01022,Bayer Cropscience Limited,2149829,N.A,
102,BBL,INE464A01036,Bharat Bijlee Limited,1499824,N.A,
103,BBOX,INE676A01027,Black Box Limited,10651532,N.A,
104,BBTC,INE050A01025,The Bombay Burmah Trading Corporation Limited,3621771,N.A,
105,BDL,INE171Z01026,Bharat Dynamics Limited,18382289,N.A,
106,BECTORFOOD,INE495P01020,Mrs. Bectors Food Specialities Limited,31290865,N.A,
107,BEL,INE263A01024,Bharat Electronics Limited,714371379,N.A,
108,BELRISE,INE894V01022,Belrise Industries Limited,59699186,N.A,
109,BEML,INE258A01024,BEML Limited,7657800,N.A,
110,BERGEPAINT,INE463A01038,Berger Paints (I) Limited,58354675,N.A,
111,BHARATCOAL,INE05XR01022,Bharat Coking Coal Limited,93140000,N.A,
112,BHARATFORG,INE465A01025,Bharat Forge Limited,53477002,N.A,
113,BHARTIARTL,INE397D01024,Bharti Airtel Limited,622728209,N.A,
114,BHARTIHEXA,INE343G01021,Bharti Hexacom Limited,30000001,N.A,
115,BHEL,INE257A01026,Bharat Heavy Electricals Limited,291324554,N.A,
116,BIKAJI,INE00E101023,Bikaji Foods International Limited,13099401,N.A,
117,BIOCON,INE376G01013,Biocon Limited,180149119,N.A,
118,BIRLACORPN,INE340A01012,Birla Corporation Limited,5714231,N.A,
119,BLACKBUCK,INE0UIZ01018,BLACKBUCK LIMITED,27320616,N.A,
120,BLS,INE153T01027,BLS International Services Limited,24338485,N.A,
121,BLUEDART,INE233B01017,Blue Dart Express Limited,1186397,N.A,
122,BLUESTARCO,INE472A01039,Blue Star Limited,26113559,N.A,
123,BLUESTONE,INE304W01038,BlueStone Jewellery and Lifestyle Limited,25493878,N.A,
124,BOMDYEING,INE032A01023,Bombay Dyeing & Mfg Company Limited,19178746,N.A,
125,BORORENEW,INE666D01022,BOROSIL RENEWABLES LIMITED,11558672,N.A,
126,BOSCHLTD,INE323A01026,Bosch Limited,1737683,N.A,
127,BPCL,INE029A01011,Bharat Petroleum Corporation Limited,408027661,N.A,
128,BRIGADE,INE791I01019,Brigade Enterprises Limited,38421069,N.A,
129,BRITANNIA,INE216A01030,Britannia Industries Limited,23823081,N.A,
130,BSE,INE118H01025,BSE Limited,81576815,N.A,
131,BSOFT,INE836A01035,BIRLASOFT LIMITED,33320101,N.A,
132,CAMPUS,INE278Y01022,Campus Activewear Limited,17055040,N.A,
133,CAMS,INE596I01020,Computer Age Management Services Limited,49596900,N.A,
134,CANBK,INE476A01022,Canara Bank,672420574,N.A,
135,CANFINHOME,INE477A01020,Can Fin Homes Limited,18644845,N.A,
136,CANHLIFE,INE01TY01017,Canara HSBC Life Insurance Company Limited,71696985,N.A,
137,CAPLIPOINT,INE475E01026,Caplin Point Laboratories Limited,4473869,N.A,
138,CARBORUNIV,INE120A01034,Carborundum Universal Limited,23282230,N.A,
139,CARTRADE,INE290S01011,Cartrade Tech Limited,9575607,N.A,
140,CARYSIL,INE482D01024,CARYSIL LIMITED,3337171,N.A,
141,CASTROLIND,INE172A01027,Castrol India Limited,96933994,N.A,
142,CCAVENUE,INE483S01020,AvenuesAI Limited,505401742,N.A,
143,CCL,INE421D01022,CCL Products (India) Limited,14343431,N.A,
144,CDSL,INE736A01011,Central Depository Services (India) Limited,35530000,N.A,
145,CEATLTD,INE482A01020,CEAT Limited,4242478,N.A,
146,CEIGALL,INE0AG901020,Ceigall India Limited,6251610,N.A,
147,CELLO,INE0LMW01024,Cello World Limited,11044411,N.A,
148,CEMPRO,INE686A01026,Cemindia Projects Limited,11178940,N.A,
149,CENTRALBK,INE483A01010,Central Bank of India,340524338,N.A,
150,CENTUM,INE320B01020,Centum Electronics Limited,1566101,N.A,
151,CERA,INE739E01017,Cera Sanitaryware Limited,1175443,N.A,
